group_id,sqrt_s_GeV,cos_lo,cos_hi,sm_pred_pb,n_events,n_total,sigma_tot_nb,evn_line,cos_sign,model
0,200.0,-0.9,-0.72,8.564543324444443,736,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,-0.72,-0.54,8.890368342222226,764,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,-0.54,-0.36,10.787135409999998,927,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,-0.36,-0.18,12.858451594444446,1105,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,-0.18,0.0,18.80475816888889,1616,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,0.0,0.09,25.740176404444448,1106,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,0.09,0.18,32.163583897777784,1382,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,0.18,0.27,42.58998446666666,1830,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,0.27,0.36,59.78889076222225,2569,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,0.36,0.45,89.13641557777775,3830,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,0.45,0.54,134.7751912822222,5791,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,0.54,0.63,219.44314947333345,9429,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,0.63,0.72,407.2579990066668,17499,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,0.72,0.81,898.0901150733326,38589,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
0,200.0,0.81,0.9,2625.847091486668,112827,200000,0.41891788,0,1,BHAGEN-1PH_unweighted
1,202.0,-0.9,-0.72,18.28209598166666,762,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,-0.72,-0.54,18.689964264722228,779,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,-0.54,-0.36,21.641011253888884,902,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,-0.36,-0.18,26.247523627222225,1094,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,-0.18,0.0,37.04403700222223,1544,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,0.0,0.09,53.83861336333334,1122,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,0.09,0.18,66.12264635888889,1378,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,0.18,0.27,91.36249540444442,1904,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,0.27,0.36,125.3835086616667,2613,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,0.36,0.45,182.24514576999997,3798,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,0.45,0.54,267.4656246766665,5574,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,0.54,0.63,460.0754232866669,9588,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,0.63,0.72,848.1740907400003,17676,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,0.72,0.81,1840.3496776505535,38353,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
1,202.0,0.81,0.9,5418.074287606112,112913,200000,0.86372107,0,1,BHAGEN-1PH_unweighted
2,205.0,-0.9,-0.72,74.09419919999998,729,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,-0.72,-0.54,71.75652213333336,706,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,-0.54,-0.36,94.0152733333333,925,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,-0.36,-0.18,114.0379856,1122,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,-0.18,0.0,158.14893546666667,1556,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,0.0,0.09,213.23680373333332,1049,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,0.09,0.18,277.472104,1365,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,0.18,0.27,370.9791866666665,1825,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,0.27,0.36,502.9054837333336,2474,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,0.36,0.45,741.5518207999997,3648,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,0.45,0.54,1190.5890938666664,5857,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,0.54,0.63,1903.2756848000008,9363,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,0.63,0.72,3587.013001600001,17646,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,0.72,0.81,7834.064041066659,38539,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
2,205.0,0.81,0.9,23010.060281600006,113196,200000,3.6589728,0,1,BHAGEN-1PH_unweighted
